@relation cscsp

@attribute close numeric
@attribute hour numeric
@attribute consecutivedowns {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute pricebolls50 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute williamsr50 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute psar {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute mfi16 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute stochasticdrsi20_5_5 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute williamsr10 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute rsi5 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute aroonoscillator50 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute atr20 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute cci10 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute volumebolls50 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute ultimateoscillator4_10_25 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute stochasticd14_3_3 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute macd12_26_9 {BUCKET0,BUCKET1,BUCKET2,BUCKET3,BUCKET4,BUCKET5,BUCKET6,BUCKET7,BUCKET8,BUCKET9,BUCKET10,BUCKET11,BUCKET12,BUCKET13}
@attribute class {Buy,No}

@data
254.79, 13.0, BUCKET3, BUCKET5, BUCKET4, BUCKET5, BUCKET5, BUCKET7, BUCKET3, BUCKET4, BUCKET5, BUCKET6, BUCKET7, BUCKET6, BUCKET5, BUCKET6, BUCKET5, No
255.64, 12.0, BUCKET2, BUCKET7, BUCKET5, BUCKET5, BUCKET6, BUCKET10, BUCKET6, BUCKET8, BUCKET5, BUCKET6, BUCKET10, BUCKET3, BUCKET7, BUCKET8, BUCKET5, No
255.75, 12.0, BUCKET1, BUCKET7, BUCKET5, BUCKET5, BUCKET6, BUCKET10, BUCKET7, BUCKET8, BUCKET4, BUCKET6, BUCKET11, BUCKET4, BUCKET8, BUCKET8, BUCKET5, No
255.4, 12.0, BUCKET2, BUCKET6, BUCKET4, BUCKET5, BUCKET4, BUCKET9, BUCKET6, BUCKET8, BUCKET4, BUCKET6, BUCKET9, BUCKET5, BUCKET7, BUCKET7, BUCKET5, No
255.56, 12.0, BUCKET1, BUCKET6, BUCKET4, BUCKET5, BUCKET5, BUCKET9, BUCKET8, BUCKET8, BUCKET4, BUCKET6, BUCKET11, BUCKET9, BUCKET7, BUCKET6, BUCKET5, No
254.62, 11.0, BUCKET2, BUCKET5, BUCKET3, BUCKET7, BUCKET4, BUCKET8, BUCKET3, BUCKET5, BUCKET4, BUCKET6, BUCKET7, BUCKET4, BUCKET4, BUCKET5, BUCKET5, No
254.68, 11.0, BUCKET1, BUCKET5, BUCKET3, BUCKET7, BUCKET3, BUCKET7, BUCKET5, BUCKET6, BUCKET3, BUCKET6, BUCKET7, BUCKET5, BUCKET3, BUCKET5, BUCKET5, No
254.6, 11.0, BUCKET1, BUCKET5, BUCKET3, BUCKET8, BUCKET3, BUCKET7, BUCKET5, BUCKET5, BUCKET3, BUCKET6, BUCKET7, BUCKET3, BUCKET3, BUCKET4, BUCKET5, No
254.45, 11.0, BUCKET1, BUCKET5, BUCKET3, BUCKET8, BUCKET2, BUCKET6, BUCKET5, BUCKET5, BUCKET3, BUCKET6, BUCKET7, BUCKET8, BUCKET4, BUCKET4, BUCKET5, No
254.4, 10.0, BUCKET2, BUCKET5, BUCKET3, BUCKET8, BUCKET3, BUCKET7, BUCKET4, BUCKET4, BUCKET3, BUCKET6, BUCKET7, BUCKET5, BUCKET4, BUCKET4, BUCKET5, No
254.88, 10.0, BUCKET1, BUCKET5, BUCKET3, BUCKET8, BUCKET3, BUCKET10, BUCKET6, BUCKET6, BUCKET3, BUCKET6, BUCKET9, BUCKET6, BUCKET5, BUCKET4, BUCKET5, No
254.88, 10.0, BUCKET1, BUCKET5, BUCKET3, BUCKET8, BUCKET2, BUCKET9, BUCKET6, BUCKET6, BUCKET3, BUCKET6, BUCKET8, BUCKET4, BUCKET7, BUCKET3, BUCKET4, No
254.46, 10.0, BUCKET3, BUCKET4, BUCKET3, BUCKET8, BUCKET2, BUCKET8, BUCKET3, BUCKET5, BUCKET3, BUCKET6, BUCKET7, BUCKET7, BUCKET7, BUCKET3, BUCKET4, No
254.65, 9.0, BUCKET2, BUCKET5, BUCKET3, BUCKET8, BUCKET2, BUCKET9, BUCKET3, BUCKET5, BUCKET3, BUCKET6, BUCKET7, BUCKET9, BUCKET7, BUCKET3, BUCKET4, No
254.75, 9.0, BUCKET1, BUCKET5, BUCKET3, BUCKET8, BUCKET2, BUCKET8, BUCKET4, BUCKET6, BUCKET3, BUCKET6, BUCKET6, BUCKET7, BUCKET7, BUCKET3, BUCKET4, No
254.4, 9.0, BUCKET1, BUCKET4, BUCKET3, BUCKET8, BUCKET2, BUCKET7, BUCKET3, BUCKET5, BUCKET3, BUCKET6, BUCKET5, BUCKET9, BUCKET6, BUCKET3, BUCKET4, No
254.25, 9.0, BUCKET1, BUCKET4, BUCKET3, BUCKET9, BUCKET2, BUCKET5, BUCKET3, BUCKET4, BUCKET3, BUCKET6, BUCKET5, BUCKET9, BUCKET6, BUCKET3, BUCKET4, No
253.62, 8.0, BUCKET4, BUCKET3, BUCKET2, BUCKET9, BUCKET1, BUCKET4, BUCKET2, BUCKET3, BUCKET3, BUCKET6, BUCKET4, BUCKET6, BUCKET6, BUCKET3, BUCKET4, No
254.04, 8.0, BUCKET3, BUCKET4, BUCKET2, BUCKET9, BUCKET1, BUCKET5, BUCKET2, BUCKET3, BUCKET3, BUCKET6, BUCKET3, BUCKET10, BUCKET4, BUCKET3, BUCKET4, No
254.96, 8.0, BUCKET2, BUCKET4, BUCKET3, BUCKET8, BUCKET2, BUCKET6, BUCKET3, BUCKET4, BUCKET5, BUCKET6, BUCKET4, BUCKET6, BUCKET4, BUCKET4, BUCKET5, No
255.06, 8.0, BUCKET1, BUCKET4, BUCKET3, BUCKET8, BUCKET2, BUCKET6, BUCKET3, BUCKET4, BUCKET5, BUCKET6, BUCKET3, BUCKET7, BUCKET4, BUCKET5, BUCKET5, No
254.24, 7.0, BUCKET3, BUCKET3, BUCKET2, BUCKET9, BUCKET2, BUCKET6, BUCKET1, BUCKET3, BUCKET5, BUCKET6, BUCKET3, BUCKET11, BUCKET3, BUCKET6, BUCKET5, No
256.66, 7.0, BUCKET2, BUCKET6, BUCKET5, BUCKET5, BUCKET2, BUCKET8, BUCKET5, BUCKET7, BUCKET5, BUCKET6, BUCKET8, BUCKET8, BUCKET7, BUCKET8, BUCKET5, No
256.76, 7.0, BUCKET1, BUCKET6, BUCKET5, BUCKET5, BUCKET2, BUCKET9, BUCKET6, BUCKET7, BUCKET5, BUCKET6, BUCKET9, BUCKET9, BUCKET8, BUCKET8, BUCKET5, No
256.74, 7.0, BUCKET2, BUCKET6, BUCKET5, BUCKET5, BUCKET2, BUCKET9, BUCKET6, BUCKET7, BUCKET5, BUCKET6, BUCKET10, BUCKET5, BUCKET8, BUCKET8, BUCKET5, No
257.29, 6.0, BUCKET1, BUCKET6, BUCKET5, BUCKET4, BUCKET2, BUCKET12, BUCKET7, BUCKET9, BUCKET5, BUCKET6, BUCKET12, BUCKET7, BUCKET9, BUCKET8, BUCKET5, No
256.23, 6.0, BUCKET1, BUCKET5, BUCKET4, BUCKET5, BUCKET2, BUCKET11, BUCKET7, BUCKET8, BUCKET5, BUCKET6, BUCKET8, BUCKET11, BUCKET9, BUCKET8, BUCKET4, No
255.98, 6.0, BUCKET1, BUCKET5, BUCKET4, BUCKET5, BUCKET2, BUCKET11, BUCKET8, BUCKET8, BUCKET5, BUCKET6, BUCKET9, BUCKET5, BUCKET7, BUCKET7, BUCKET4, No
